"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\map.geojson", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 16, 13, 96
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\CategoryCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 135, 0, 0, 18, 153
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\CategoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 7, 64
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\Crumbs.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 8, 46
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\Crumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\EditName\EditName.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\EditName\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Header\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 10, 83
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 21, 180
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\Loader.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\Loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\Logout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\LogoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\NavigationManu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 8, 66
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\NavigationMenu.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 11, 84
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Portal\Portal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Portal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\RecipeCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 139, 0, 0, 23, 162
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 11, 108
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\RecipesGrid.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\RecipesGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 11, 78
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\ThemeSwitcher.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\ThemeSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\ImageUploader\ImageUplodaer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 8, 113
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\ImageUploader\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
